R1;R2;R3;R4;R5;label
0.03;0.06;0.09;0.25;0.67;2
0.01;0.02;0.05;0.17;0.4;2
0.0;0.0;0.0;0.14;0.64;2
0.0;0.0;0.05;0.21;0.7;2
0.0;0.0;0.06;0.2;0.45;2
0.0;0.0;0.01;0.12;0.35;2
0.0;0.02;0.04;0.17;0.7;2
0.0;0.0;0.03;0.15;0.54;2
0.01;0.01;0.04;0.16;0.74;2
0.0;0.0;0.02;0.09;0.53;2
0.01;0.01;0.02;0.13;0.53;2
0.0;0.01;0.04;0.25;0.67;2
0.0;0.01;0.04;0.18;0.65;2
0.0;0.01;0.03;0.21;0.65;2
0.01;0.03;0.04;0.17;0.38;2
0.0;0.02;0.1;0.24;0.64;2
0.0;0.0;0.03;0.1;0.53;2
0.01;0.02;0.07;0.17;0.44;2
0.0;0.0;0.05;0.18;0.68;2
0.0;0.01;0.07;0.14;0.46;2
0.01;0.01;0.03;0.14;0.43;2
0.0;0.02;0.08;0.23;0.7;2
0.02;0.04;0.08;0.18;0.83;2
0.0;0.01;0.02;0.24;0.73;2
0.0;0.02;0.11;0.18;0.83;2
0.0;0.0;0.05;0.26;0.81;2
0.0;0.02;0.06;0.16;0.29;2
0.0;0.02;0.07;0.12;0.36;2
0.0;0.01;0.05;0.16;0.83;2
0.0;0.02;0.08;0.22;0.49;2
0.0;0.02;0.07;0.2;0.73;2
0.0;0.02;0.05;0.14;0.81;2
0.0;0.01;0.05;0.19;0.55;2
0.01;0.02;0.06;0.16;0.44;2
0.0;0.0;0.02;0.15;0.7;2
0.0;0.0;0.03;0.12;0.4;2
0.0;0.0;0.01;0.05;0.53;2
0.0;0.03;0.07;0.19;0.7;2
0.01;0.02;0.07;0.13;0.41;2
0.0;0.03;0.09;0.21;0.67;2
0.01;0.02;0.03;0.07;0.28;2
0.0;0.02;0.08;0.23;0.55;2
0.01;0.01;0.05;0.12;0.56;2
0.0;0.0;0.05;0.13;0.29;2
0.0;0.0;0.02;0.11;0.71;2
0.0;0.0;0.06;0.25;0.61;2
0.0;0.01;0.05;0.22;0.81;2
0.02;0.04;0.09;0.19;0.85;2
0.01;0.01;0.04;0.15;0.45;2
0.0;0.01;0.02;0.11;0.52;2
0.01;0.02;0.09;0.22;0.52;2
0.0;0.01;0.02;0.21;0.82;2
0.01;0.01;0.04;0.2;0.88;2
0.01;0.01;0.06;0.16;0.81;2
0.0;0.0;0.01;0.14;0.61;2
0.0;0.05;0.13;0.19;0.65;2
0.01;0.03;0.09;0.18;0.85;2
0.0;0.02;0.04;0.19;0.61;2
0.0;0.01;0.04;0.08;0.79;2
0.0;0.0;0.03;0.13;0.41;2
0.0;0.02;0.04;0.1;0.21;2
0.0;0.01;0.02;0.15;0.59;2
0.01;0.02;0.08;0.21;0.75;2
0.0;0.01;0.08;0.19;0.77;2
0.0;0.01;0.07;0.2;0.45;2
0.01;0.04;0.05;0.13;0.43;2
0.0;0.0;0.01;0.06;0.45;2
0.0;0.02;0.04;0.17;0.38;2
0.0;0.01;0.03;0.2;0.78;2
0.0;0.0;0.07;0.21;0.78;2
0.01;0.01;0.08;0.19;0.74;2
0.0;0.0;0.02;0.08;0.65;2
0.0;0.01;0.04;0.15;0.41;2
0.0;0.01;0.03;0.07;0.3;2
0.0;0.01;0.02;0.19;0.71;2
0.0;0.01;0.04;0.15;0.33;2
0.0;0.01;0.04;0.17;0.71;2
0.0;0.0;0.02;0.16;0.59;2
0.0;0.01;0.04;0.16;0.59;2
0.0;0.03;0.07;0.23;0.53;2
0.01;0.02;0.05;0.13;0.31;2
0.0;0.0;0.09;0.2;0.71;2
0.0;0.05;0.11;0.24;0.66;2
0.01;0.02;0.06;0.22;0.57;2
0.0;0.01;0.05;0.17;0.76;2
0.06;0.18;0.69;2.19;8.38;3
0.13;0.36;0.82;2.7;9.01;3
0.04;0.31;0.86;2.97;9.54;3
0.01;0.14;0.98;3.14;10.01;3
0.07;0.27;0.83;3.3;10.43;3
0.11;0.29;0.92;2.61;9.18;3
0.06;0.28;0.96;2.96;9.87;3
0.05;0.3;0.85;2.91;9.51;3
0.04;0.23;0.79;3.89;12.45;3
0.09;0.18;0.6;2.35;8.79;3
0.16;0.38;0.78;2.61;8.85;3
0.06;0.12;0.53;2.19;8.17;3
0.09;0.25;0.77;2.57;9.26;3
0.04;0.28;0.78;2.66;9.36;3
0.06;0.24;0.97;2.97;9.78;3
0.09;0.23;0.61;2.16;7.94;3
0.11;0.36;0.92;3.7;11.4;3
0.07;0.24;0.77;4.1;12.95;3
0.07;0.35;0.94;3.04;9.76;3
0.06;0.16;0.7;2.13;8.33;3
0.06;0.3;0.86;2.77;9.64;3
0.06;0.14;0.59;2.23;8.25;3
0.04;0.14;0.56;2.2;8.5;3
0.07;0.2;0.54;2.08;7.7;3
0.05;0.2;0.81;3.84;12.23;3
0.06;0.19;0.97;4.23;12.18;3
0.07;0.28;0.75;2.74;8.86;3
0.05;0.23;0.96;3.12;10.16;3
0.06;0.17;0.66;2.32;8.47;3
0.08;0.25;0.98;4.16;13.37;3
0.16;0.36;0.78;2.62;8.86;3
0.07;0.18;0.61;2.34;8.79;3
0.04;0.22;0.94;3.45;10.86;3
0.12;0.34;0.99;2.86;9.63;3
0.06;0.19;0.83;4.0;12.97;3
0.05;0.23;0.87;3.81;12.53;3
0.04;0.15;0.63;2.1;8.16;3
0.08;0.23;0.89;3.91;12.61;3
0.04;0.24;0.72;4.1;12.92;3
0.08;0.33;0.99;3.57;10.84;3
0.1;0.38;0.97;2.88;9.5;3
0.1;0.34;0.99;2.85;9.6;3
0.15;0.33;0.68;2.44;8.45;3
0.16;0.37;0.76;2.52;8.73;3
0.1;0.39;0.97;2.73;9.33;3
0.11;0.42;0.95;2.86;9.36;3
0.03;0.22;0.72;2.52;8.9;3
0.14;0.32;0.74;2.49;8.57;3
0.08;0.29;0.73;2.69;8.77;3
0.09;0.28;0.95;3.58;11.87;3
0.07;0.25;0.93;3.88;12.63;3
0.06;0.18;0.71;2.18;8.41;3
0.06;0.25;0.77;4.17;12.98;3
0.07;0.23;0.79;2.27;8.71;3
0.08;0.21;0.89;3.64;11.38;3
0.12;0.4;0.98;2.88;9.34;3
0.07;0.37;0.99;3.21;10.05;3
0.07;0.22;0.67;2.47;9.05;3
0.09;0.27;0.93;2.9;9.69;3
0.1;0.35;0.95;2.81;9.21;3
0.05;0.21;0.75;3.94;12.73;3
0.06;0.15;0.57;2.22;8.2;3
0.07;0.26;0.95;3.93;12.67;3
0.05;0.2;0.93;3.1;10.17;3
0.07;0.29;0.83;2.53;9.0;3
0.14;0.31;0.66;2.38;8.36;3
0.07;0.23;0.99;4.3;13.38;3
0.06;0.28;0.91;2.56;9.18;3
0.1;0.34;0.98;3.83;11.6;3
0.08;0.26;0.9;2.86;9.76;3
0.09;0.26;0.82;2.47;8.79;3
0.04;0.21;0.94;4.03;12.27;3
0.09;0.27;0.79;2.63;9.33;3
0.07;0.21;0.58;2.09;7.81;3
0.07;0.19;0.85;4.11;12.74;3
0.04;0.25;0.86;2.56;9.2;3
0.08;0.22;0.93;2.92;9.73;3
0.09;0.39;0.99;2.74;9.34;3
0.07;0.28;0.96;3.35;10.44;3
0.08;0.31;0.78;2.64;9.33;3
0.08;0.25;0.86;3.15;10.12;3
0.05;0.18;0.92;3.93;12.28;3
0.07;0.18;0.72;2.8;9.39;3
0.1;0.36;0.79;2.59;8.77;3
0.06;0.17;0.62;2.3;8.31;3
0.15;0.36;0.83;2.79;9.04;3
0.07;0.27;0.88;3.61;11.2;3
0.05;0.2;0.9;3.92;12.53;3
0.07;0.27;0.95;2.87;9.71;3
0.04;0.18;0.94;3.85;12.37;3
0.06;0.17;0.66;2.33;8.47;3
0.14;0.3;0.65;2.29;8.22;3
0.07;0.22;0.79;3.05;9.78;3
0.1;0.33;0.78;2.55;8.67;3
0.04;0.16;0.86;3.84;12.86;3
0.05;0.25;0.99;2.9;9.72;3
0.08;0.35;0.94;2.8;9.46;3
0.08;0.2;0.74;2.5;8.79;3
0.12;0.26;0.62;2.19;8.09;3
0.04;0.15;0.57;2.24;8.55;3
0.08;0.27;0.97;3.01;9.87;3
0.07;0.24;0.86;4.17;12.8;3
0.15;0.43;0.86;2.86;9.22;3
0.05;0.21;0.6;2.41;8.78;3
0.05;0.31;0.99;3.99;13.01;3
0.11;0.31;0.92;3.31;10.24;3
0.13;0.36;0.81;2.68;8.92;3
0.12;0.34;0.78;2.57;8.68;3
0.06;0.24;0.94;4.12;13.24;3
0.08;0.26;0.99;2.96;9.42;3
0.11;0.31;0.97;3.32;10.25;3
0.08;0.23;0.93;3.71;11.65;3
0.08;0.23;0.84;3.14;10.03;3
0.08;0.17;0.54;2.25;8.55;3
0.05;0.23;0.92;4.07;13.18;3
0.1;0.39;0.98;2.76;9.39;3
0.07;0.24;0.88;2.86;9.55;3
0.13;0.38;0.87;2.72;9.11;3
0.08;0.24;0.75;2.65;9.24;3
0.03;0.09;0.45;1.8;4.59;4
0.01;0.14;0.42;1.52;5.14;4
0.05;0.16;0.53;1.49;5.19;4
0.0;0.12;0.41;1.32;5.0;4
0.05;0.13;0.43;1.95;4.61;4
0.05;0.19;0.39;0.93;2.78;4
0.03;0.15;0.59;1.9;5.94;4
0.05;0.15;0.36;1.18;4.5;4
0.01;0.05;0.23;0.58;2.06;4
0.06;0.22;0.59;1.78;4.86;4
0.03;0.11;0.57;1.3;3.42;4
0.03;0.16;0.52;2.12;6.25;4
0.06;0.15;0.46;1.82;7.32;4
0.03;0.18;0.65;1.88;5.13;4
0.0;0.02;0.14;0.56;1.97;4
0.03;0.07;0.31;1.06;2.94;4
0.03;0.16;0.48;1.81;7.46;4
0.04;0.07;0.25;0.88;3.64;4
0.04;0.13;0.52;1.43;4.94;4
0.04;0.19;0.59;1.36;3.48;4
0.02;0.14;0.51;2.17;6.59;4
